nid,exclude,study_id,author,text_description,source,location_id,location_id2,location_name,piv,prim_inf_var,variant,variant_b1351,symptom_severity,symptom_severity_description,severity,IHME_symptom_classification,severe_vs_all,severe,moderate,mild,asymptomatic,sex_id,age_start,age_end,age_mean,over_65,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,start_end_int,Period reported in the study,past_infection_evaluation,quality_rating,events_vaccine,events_control,ss_vaccine,ss_control,hiv_flag,obesity_flag,comorbidity_flag,ethnicity_flag,race_flag,dose_flag,high_risk_flag,infectious_flag,notes,extractor_id
,0,2,Goldberg Y,medrix- Israel previous inffuction immunity vs VE immunity ,https://academic.oup.com/aje/advance-article/doi/10.1093/aje/kwac060/6556183?login=false,85,85,Israel,1,Ancestral,B.1.1.7,,severe,hospitalization with positive COVID-19 PCR 3 months after 1st infection,hosp,severe,,1,0,0,0,3,16,80,,,,0.941,0.919,0.957,0,,,,,,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 80. ,han20
,0,2,Goldberg Y,medrix- Israel previous inffuction immunity vs VE immunity ,https://academic.oup.com/aje/advance-article/doi/10.1093/aje/kwac060/6556183?login=false,85,85,Israel,1,Ancestral,B.1.1.7,,severe,death due to covid 19,death,severe,,1,0,0,0,3,16,80,,,,0.964,0.925,0.983,0,,,,,,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 80. ,han20
,0,3,Hansen C,Lancet- Denmark previous infection immunity,https://www.sciencedirect.com/science/article/pii/S0140673621005754?casa_token=pSL73c9XKCMAAAAA:8z-wz_dodqU5OeQ4mauRrO75Hz1MLLXJW9nF06adogbUB78Ds2d2N7rvak4FyEeLVqh-PASamN0,78,78,Denmark,1,Ancestral,Ancestral,,infection,new positive test at least 90 days later.,infection,infection,,1,1,1,1,3,18,65,,,,0.788,0.749,0.821,0,,,,,,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,3,Hansen C,Lancet- Denmark previous infection immunity,https://www.sciencedirect.com/science/article/pii/S0140673621005754?casa_token=pSL73c9XKCMAAAAA:8z-wz_dodqU5OeQ4mauRrO75Hz1MLLXJW9nF06adogbUB78Ds2d2N7rvak4FyEeLVqh-PASamN0,78,78,Denmark,1,Ancestral,Ancestral,,infection,new positive test at least 90 days later.,infection,infection,,1,1,1,1,3,18,65,,,,0.793,0.744,0.833,1,,12,24,12_24,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,"Age end >= 65. analysis ended at +25 weeks, range included as 25-32 for sake of the analysis",han20
,0,3,Hansen C,Lancet- Denmark previous infection immunity,https://www.sciencedirect.com/science/article/pii/S0140673621005754?casa_token=pSL73c9XKCMAAAAA:8z-wz_dodqU5OeQ4mauRrO75Hz1MLLXJW9nF06adogbUB78Ds2d2N7rvak4FyEeLVqh-PASamN0,78,78,Denmark,1,Ancestral,Ancestral,,infection,new positive test at least 90 days later.,infection,infection,,1,1,1,1,3,18,65,,,,0.777,0.709,0.829,1,,25,32,25_32,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,"Age end >= 65. analysis ended at +25 weeks, range included as 25-32 for sake of the analysis",han20
,0,4,Kim P ,CID- previous infection immunity vs Delta,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab999/6448857?login=true,102,102,United States,1,Ancestral,B.1.617.2,,infection,positive covid pcr occurring?>90 days after initial testing,infection,infcetion,,1,1,1,1,3,17,65,,,,0.854,0.8,0.893,0,,,,,,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,4,Kim P ,CID- previous infection immunity vs Delta,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab999/6448857?login=true,102,102,United States,1,Ancestral,B.1.617.2,,"Mild, Moderate + Severe",symptomatic individuals with positive covid pcr occurring?>90 days after initial testing,symptomatic,"Mild, Moderate + Severe",,1,1,1,0,3,17,65,,,,0.882,0.829,0.919,0,,,,,,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.1.7,,"Mild, Moderate + Severe", only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,symptomatic,"Mild, Moderate + Severe",,1,1,1,0,3,20,70,,,,0.953,0.66,0.993,0,,,,,,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70. ",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.351,,"Mild, Moderate + Severe", only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,symptomatic,"Mild, Moderate + Severe",,1,1,1,0,3,20,70,,,,0.854,0.724,0.922,0,,,,,,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70. ",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.617.2,,"Mild, Moderate + Severe", only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,symptomatic,"Mild, Moderate + Severe",,1,1,1,0,3,20,70,,,,0.902,0.819,0.946,0,,,,,,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70. ",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.1.529,,"Mild, Moderate + Severe", only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,symptomatic,"Mild, Moderate + Severe",,1,1,1,0,3,20,70,,,,0.619,0.48,0.72,0,,,,,,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70. ",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.1.7,,severe,hospitalization or death caused by reinfection,hosp&death,severe,,1,0,0,0,3,20,70,,,,0.694,0.01,0.962,0,,,,,,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70. Lower bound was originally -1.43, changed to 0.01 to include in the logit model",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.351,,severe,hospitalization or death caused by reinfection,hosp&death,severe,,1,0,0,0,3,20,70,,,,0.88,0.507,0.971,0,,,,,,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70. ",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.617.2,,severe,hospitalization or death caused by reinfection,hosp&death,severe,,1,0,0,0,3,20,70,,,,0.999,0.433,0.999,0,,,,,,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70. ",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.1.529,,severe,hospitalization or death caused by reinfection,hosp&death,severe,,1,0,0,0,3,20,70,,,,0.878,0.475,0.971,0,,,,,,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70. ",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.1.7,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.894,0.226,0.985,1,,12,32,12_32,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.1.7,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.91,0.345,0.988,1,,33,56,33_56,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,1,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.1.7,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,NA,NA,NA,1,,57,70,57_70,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.351,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.926,0.767,0.976,1,,12,32,12_32,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.351,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.812,0.655,0.898,1,,33,56,33_56,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,1,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,Ancestral,B.1.351,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,NA,NA,NA,1,,57,70,57_70,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.617.2,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.934,0.876,0.965,1,,12,32,12_32,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.617.2,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.911,0.833,0.953,1,,33,56,33_56,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.617.2,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.871,0.594,0.959,1,,57,70,57_70,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.1.529,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.64,0.547,0.714,1,,12,32,12_32,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.1.529,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.472,0.375,0.554,1,,33,56,33_56,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,5,Altarawneh H ,NEJM- Qatar previous infection immunity for several variants,https://www.nejm.org/doi/full/10.1056/NEJMc2200133,151,151,Qatar,1,mixed variant,B.1.1.529,,infection, only documented infections with a PCR cycle threshold (Ct) value of 30 or less were included as cases in our study.,infection,infection,,1,1,1,1,3,20,70,,,,0.596,0.507,0.67,1,,57,70,57_70,Weeks after infection,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,"Age start <20, Age end >= 70.  period ends at 56+ weeks, time interval included as 57-70 for sake of the analysis",han20
,0,6,Rane M,medrix- VE delta vs previous infection imunity,https://www.medrxiv.org/content/10.1101/2022.02.21.22271298v1.full.pdf,102,102,United States,1,mixed variant,B.1.617.2,,"Mild, Moderate + Severe","We defined symptomatic COVID-19 as SARS-CoV-2 positive patients who exhibited at least one of these symptoms: fever, oxygen saturation < 95%, chills, cough, headache, fatigue, myalgia, sore throat, chest tightness, shortness of breath, loss All rights reserved. No reuse allowed without permission. (which was not certified by peer review) is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. medRxiv preprint doi: https://doi.org/10.1101/2022.02.21.22271298; this version posted February 22, 2022. The copyright holder for this preprint of sense of taste and smell, nausea, vomiting, diarrhea, chest pain, confusion/altered mental state",Symptomatic,"Mild, Moderate + Severe",,1,1,1,1,3,12,80,,,,0.9,0.87,0.93,2,34,,,,,Confirmed infection registered in National Health System,Good,0,0,0,0,0,0,0,0,0,0,0,0,Age end > 80.,han20
,0,7,Smid M,medrix- Czech VE/ previous infection Omicron vs delta,https://www.medrxiv.org/content/10.1101/2022.02.24.22271396v1.full.pdf,47,47,Czechia,1,mixed variant,B.1.1.529,,severe,"hospital admission of a person, who tested positive on a PCR test, within two weeks after the confirmed infection or earlier",hosp,severe,,1,0,0,0,3,5,80,,,,0.87,0.73,0.94,1,,2,24,2_24,Weeks after infection,Confirmed infection registered in National Health System,Poor,0,0,0,0,0,0,0,0,0,0,0,0,Age end at 80+. study period ends at 6 months + period included as 25- 52,han20
,0,7,Smid M,medrix- Czech VE/ previous infection Omicron vs delta,https://www.medrxiv.org/content/10.1101/2022.02.24.22271396v1.full.pdf,47,47,Czechia,1,mixed variant,B.1.1.529,,severe,"hospital admission of a person, who tested positive on a PCR test, within two weeks after the confirmed infection or earlier",hosp,severe,,1,0,0,0,3,5,80,,,,0.92,0.86,0.96,1,,25,52,25_52,Weeks after infection,Confirmed infection registered in National Health System,Poor,0,0,0,0,0,0,0,0,0,0,0,0,Age end at 80+. study period ends at 6 months + period included as 25- 52,han20
,0,7,Smid M,medrix- Czech VE/ previous infection Omicron vs delta,https://www.medrxiv.org/content/10.1101/2022.02.24.22271396v1.full.pdf,47,47,Czechia,1,mixed variant,B.1.617.2,,severe,"hospital admission of a person, who tested positive on a PCR test, within two weeks after the confirmed infection or earlier",hosp,severe,,1,0,0,0,3,5,80,,,,0.99,0.98,0.99,1,,2,24,2_24,Weeks after infection,Confirmed infection registered in National Health System,Poor,0,0,0,0,0,0,0,0,0,0,0,0,Age end at 80+. study period ends at 6 months + period included as 25- 52,han20
,0,7,Smid M,medrix- Czech VE/ previous infection Omicron vs delta,https://www.medrxiv.org/content/10.1101/2022.02.24.22271396v1.full.pdf,47,47,Czechia,1,mixed variant,B.1.617.2,,severe,"hospital admission of a person, who tested positive on a PCR test, within two weeks after the confirmed infection or earlier",hosp,severe,,1,0,0,0,3,5,80,,,,0.95,0.93,0.96,1,,25,52,25_52,Weeks after infection,Confirmed infection registered in National Health System,Poor,0,0,0,0,0,0,0,0,0,0,0,0,Age end at 80+. study period ends at 6 months + period included as 25- 52,han20
,0,7,Smid M,medrix- Czech VE/ previous infection Omicron vs delta,https://www.medrxiv.org/content/10.1101/2022.02.24.22271396v1.full.pdf,47,47,Czechia,1,mixed variant,B.1.1.529,,infection,"SARS73 CoV-2 infection defined as a PCR-confirmed positive test of 74 any type of sample regardless of the presence of symptoms,",infection,infection,,1,1,1,1,3,5,80,,,,0.68,0.68,0.69,1,,2,24,2_24,Weeks after infection,Confirmed infection registered in National Health System,Poor,0,0,0,0,0,0,0,0,0,0,0,0,Age end at 80+. study period ends at 6 months + period included as 25- 52,han20
,0,7,Smid M,medrix- Czech VE/ previous infection Omicron vs delta,https://www.medrxiv.org/content/10.1101/2022.02.24.22271396v1.full.pdf,47,47,Czechia,1,mixed variant,B.1.1.529,,infection,"SARS73 CoV-2 infection defined as a PCR-confirmed positive test of 74 any type of sample regardless of the presence of symptoms,",infection,infection,,1,1,1,1,3,5,80,,,,0.13,0.1,0.14,1,,25,52,25_52,Weeks after infection,Confirmed infection registered in National Health System,Poor,0,0,0,0,0,0,0,0,0,0,0,0,Age end at 80+. study period ends at 6 months + period included as 25- 52,han20
,0,7,Smid M,medrix- Czech VE/ previous infection Omicron vs delta,https://www.medrxiv.org/content/10.1101/2022.02.24.22271396v1.full.pdf,47,47,Czechia,1,mixed variant,B.1.617.2,,infection,"SARS73 CoV-2 infection defined as a PCR-confirmed positive test of 74 any type of sample regardless of the presence of symptoms,",infection,infection,,1,1,1,1,3,5,80,,,,0.95,0.94,0.96,1,,2,24,2_24,Weeks after infection,Confirmed infection registered in National Health System,Poor,0,0,0,0,0,0,0,0,0,0,0,0,Age end at 80+. study period ends at 6 months + period included as 25- 52,han20
,0,7,Smid M,medrix- Czech VE/ previous infection Omicron vs delta,https://www.medrxiv.org/content/10.1101/2022.02.24.22271396v1.full.pdf,47,47,Czechia,1,mixed variant,B.1.617.2,,infection,"SARS73 CoV-2 infection defined as a PCR-confirmed positive test of 74 any type of sample regardless of the presence of symptoms,",infection,infection,,1,1,1,1,3,5,80,,,,0.83,0.82,0.84,1,,25,52,25_52,Weeks after infection,Confirmed infection registered in National Health System,Poor,0,0,0,0,0,0,0,0,0,0,0,0,Age end at 80+. study period ends at 6 months + period included as 25- 52,han20
,0,8,Abu-Raddad L,Lancet- Qatar reinfection immunity,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00141-3/fulltext,151,151,Qatar,1,Ancestral,Ancestral,,infection,Reinfection was defined as a PCR positive result in an individual who had a prior infection that had cleared. All SARS-CoV-2 antibody-positive persons in Qatar with at least one PCR-positive swab that occurred ?14 days after the first-positive antibody test were considered suspected cases of reinfection,infection,infection,,1,1,1,1,3,10,74,,,,0.927,0.913,0.939,2,17,,,,,Antibody testing,Fair,0,0,0,0,0,0,0,0,0,0,0,0,,han20
,0,9,Hall V,Lancet- reinfection immunity SIREN,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00675-9/fulltext,95,95,United Kingdom,1,Ancestral,B.1.1.7,,infection,A possible reinfection was defined as a participant with two positive PCR samples 90 or more days apart (based on previous national surveillance analysis) or an antibody positive participant with a new positive PCR test at least 4 weeks after the first antibody-positive result,infection,infection,,1,1,1,1,3,18,65,,,,0.84,0.81,0.87,2,29,,,,,Antibody testing,Good,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,10,Hall V,NEJM- reinfection immunity all variants,https://www.nejm.org/doi/full/10.1056/NEJMoa2118691,102,102,United Kingdom,1,all variant,all variant,,infection,"SARS-CoV-2 infection, irrespective of the participant’s symptom status  (two PCR-positive samples ?90 days apart)",infection,infection,,1,1,1,1,3,25,65,,,,0.86,0.81,0.89,1,,0,51,0_51,Weeks after infection,Antibody testing and/or confirmed infection through PCR,Good,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65 Age start < 25. ,han20
,0,10,Hall V,NEJM- reinfection immunity all variants,https://www.nejm.org/doi/full/10.1056/NEJMoa2118691,102,102,United Kingdom,1,all variant,all variant,,infection,"SARS-CoV-2 infection, irrespective of the participant’s symptom status  (two PCR-positive samples ?90 days apart)",infection,infection,,1,1,1,1,3,25,65,,,,0.69,0.38,0.84,1,,52,104,52_104,Weeks after infection,Antibody testing and/or confirmed infection through PCR,Good,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65 Age start < 25. ,han20
