exclude,study_id,author,location_id,location_name,piv,prim_inf_var,variant,symptom_severity,severity,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,sev_severity,prim_variant_name,variant_name,study_id2,mid_point1,mid_point,or,e_mean,se,mean_logit,sd_logit,or_lower,or_upper,or_log,se_log,insesqua
0,9,Hall V,95,United Kingdom,1,Ancestral,B.1.1.7,infection,infection,,0.84,0.81,0.87,2,29,,,infection,Alpha,Alpha,9&Alpha&Alpha,,29,0.16,0.74,0.0153061224489796,1.04596855518269,0.0795536509822223,0.13,0.19,-1.83258146374831,0.0968085769655366,0.808290376865477
0,10,Hall V,102,United Kingdom,1,all variant,all variant,infection,infection,,0.86,0.81,0.89,1,,0,51,infection,Alpha,Alpha,10&Alpha&Alpha,25.5,25.5,0.14,0.76,0.0204081632653061,1.15267950993839,0.111886860007161,0.11,0.19,-1.96611285637283,0.139424414889814,0.7
0,10,Hall V,102,United Kingdom,1,all variant,all variant,infection,infection,,0.69,0.38,0.84,1,,52,104,infection,Alpha,Alpha,10&Alpha&Alpha,78,78,0.31,0.59,0.11734693877551,0.363965377201412,0.485105162362589,0.16,0.62,-1.17118298150294,0.345547362960538,0.291920179679905
0,11,Pilz S,75,Austria,1,Ancestral,Ancestral,infection,infection,,0.91,0.87,0.93,2,30,,,infection,Alpha,Alpha,11&Alpha&Alpha,,30,0.09,0.81,0.0153061224489796,1.450010175506,0.0994549866730319,0.07,0.13,-2.40794560865187,0.157918165409751,0.808290376865476
0,12,Rennert L,102,United States,1,Ancestral,mixed variant,infection,infection,,0.84,0.78,0.88,2,18,,,infection,Alpha,Alpha,12&Alpha&Alpha,,18,0.16,0.74,0.0255102040816327,1.04596855518269,0.132589418303704,0.12,0.22,-1.83258146374831,0.154626480502631,0.626099033699941
0,13,Sheehan M,102,United States,1,Ancestral,Ancestral,infection,infection,,0.818,0.766,0.858,2,20,,,infection,Alpha,Alpha,13&Alpha&Alpha,,20,0.182,0.718,0.023469387755102,0.934562498110111,0.115911948848762,0.142,0.234,-1.70374859190534,0.127421953509296,0.65275336576822
0,14,Vitale J,86,Italy,1,Ancestral,Ancestral,infection,infection,,0.94,0.92,0.95,2,34,,,infection,Alpha,Alpha,14&Alpha&Alpha,,34,0.0600000000000001,0.84,0.00765306122448978,1.65822807660353,0.0569424198250727,0.05,0.08,-2.81341071676004,0.119898885011667,1.14309521329882
0,19,Breathnach A,95,United Kingdom,1,Ancestral,Ancestral,infection,infection,,0.94,0.88,0.97,2,32,,,infection,Alpha,Alpha,19&Alpha&Alpha,,32,0.0600000000000001,0.84,0.0229591836734694,1.65822807660353,0.170827259475219,0.03,0.12,-2.81341071676004,0.35364652069385,0.659966329107444
0,23,Pritchard E,95,United Kingdom,1,"Ancestral, B.1.1.7","Ancestral, B.1.1.7",infection,infection,,0.28,0.1,0.43,1,,0,15,infection,Alpha,Alpha,23&Alpha&Alpha,7.5,7.5,0.72,0.18,0.0841836734693878,-1.51634748936809,0.570350091256015,0.57,0.9,-0.328504066972036,0.116520000636662,0.344656174742132
0,23,Pritchard E,95,United Kingdom,1,"Ancestral, B.1.1.7","Ancestral, B.1.1.7",infection,infection,,0.7,0.56,0.79,1,,16,32,infection,Alpha,Alpha,23&Alpha&Alpha,24,24,0.3,0.6,0.0586734693877551,0.405465108108164,0.244472789115646,0.21,0.44,-1.20397280432594,0.188690611274193,0.412837477233712
0,23,Pritchard E,95,United Kingdom,1,"Ancestral, B.1.1.7",B.1.1.7,infection,infection,,0.42,0.19,0.58,1,,0,15,infection,Alpha,Alpha,23&Alpha&Alpha,7.5,7.5,0.58,0.32,0.0994897959183673,-0.75377180237638,0.457214135654262,0.42,0.81,-0.544727175441672,0.167545800099253,0.317037569560487
0,23,Pritchard E,95,United Kingdom,1,"Ancestral, B.1.1.7",B.1.1.7,infection,infection,,0.81,0.66,0.9,1,,16,32,infection,Alpha,Alpha,23&Alpha&Alpha,24,24,0.19,0.71,0.0612244897959184,0.895384047054841,0.297350606099652,0.1,0.34,-1.66073120682165,0.312187610107683,0.404145188432738
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,infection,infection,,0.48,0.47,0.48,1,,2,12,infection,Alpha,Alpha,31&Alpha&Alpha,7,7,0.52,0.38,0.00255102040816327,-0.489548225318706,0.0108277606458543,0.52,0.53,-0.653926467406664,0.00485923341089144,1.97989898732233
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,infection,infection,,0.96,0.95,0.96,1,,13,24,infection,Alpha,Alpha,31&Alpha&Alpha,18.5,18.5,0.04,0.86,0.00255102040816327,1.81528996663825,0.0211878771442132,0.04,0.05,-3.2188758248682,0.0569243753352576,1.97989898732233
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,infection,infection,,0.92,0.91,0.93,1,,25,36,infection,Alpha,Alpha,31&Alpha&Alpha,30.5,30.5,0.08,0.82,0.00510204081632654,1.51634748936809,0.0345666721973342,0.07,0.09,-2.52572864430826,0.0641108235410476,1.4
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,infection,infection,,0.93,0.92,0.98,1,,37,48,infection,Alpha,Alpha,31&Alpha&Alpha,42.5,42.5,0.07,0.83,0.0153061224489796,1.58562726374038,0.108477125790075,0.02,0.08,-2.65926003693278,0.353646520693849,0.808290376865477
