exclude,study_id,author,location_id,location_name,piv,prim_inf_var,variant,symptom_severity,severity,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,sev_severity,prim_variant_name,variant_name,group_analysis,study_id2,mid_point1,mid_point,e_mean,se,mean_logit,sd_logit,insesqua
0,5,Altarawneh H,151,Qatar,1,Ancestral,B.1.1.7,infection,infection,,0.894,0.226,0.985,1,,12,32,infection,Ancestral,Alpha,Non_Omicron,5&Ancestral&Alpha,22,22,0.882222222222222,0.239040060468632,2.01364436713507,2.30053762867249,0.204533596494223
0,5,Altarawneh H,151,Qatar,1,Ancestral,B.1.1.7,infection,infection,,0.91,0.345,0.988,1,,33,56,infection,Ancestral,Alpha,Non_Omicron,5&Ancestral&Alpha,44.5,44.5,0.9,0.202506928697405,2.19722457733622,2.25007698552672,0.222218420565374
0,5,Altarawneh H,151,Qatar,1,Ancestral,B.1.351,infection,infection,,0.926,0.767,0.976,1,,12,32,infection,Ancestral,Beta,Non_Omicron,5&Ancestral&Beta,22,22,0.917777777777778,0.0658226253464349,2.41252968031681,0.872265010971343,0.38977358168054
0,5,Altarawneh H,151,Qatar,1,Ancestral,B.1.351,infection,infection,,0.812,0.655,0.898,1,,33,56,infection,Ancestral,Beta,Non_Omicron,5&Ancestral&Beta,44.5,44.5,0.791111111111111,0.076530612244898,1.33163594858203,0.463108085691843,0.361478445646026
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.617.2,infection,infection,,0.934,0.876,0.965,1,,12,32,infection,Ancestral,Delta,Non_Omicron,5&Ancestral&Delta,22,22,0.926666666666667,0.0280297304106828,2.53657866033233,0.412471507024438,0.597297283556372
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.617.2,infection,infection,,0.911,0.833,0.953,1,,33,56,infection,Ancestral,Delta,Non_Omicron,5&Ancestral&Delta,44.5,44.5,0.901111111111111,0.0377928949357521,2.20963168438327,0.424115669349245,0.514392845984467
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.617.2,infection,infection,,0.871,0.594,0.959,1,,57,70,infection,Ancestral,Delta,Non_Omicron,5&Ancestral&Delta,63.5,63.5,0.856666666666667,0.114953388762913,1.78787596920166,0.936187221849801,0.294943690934249
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,infection,infection,,0.64,0.547,0.714,1,,12,32,infection,Ancestral,Omicron,Omicron,5&Ancestral&Omicron,22,22,0.6,0.0525951121189216,0.405465108108164,0.219146300495507,0.436040980329769
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,infection,infection,,0.472,0.375,0.554,1,,33,56,infection,Ancestral,Omicron,Omicron,5&Ancestral&Omicron,44.5,44.5,0.413333333333333,0.0563744016124969,-0.350202429433116,0.232482411341858,0.421171550392872
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,infection,infection,,0.596,0.507,0.67,1,,57,70,infection,Ancestral,Omicron,Omicron,5&Ancestral&Omicron,63.5,63.5,0.551111111111111,0.0513353489543966,0.205161048763777,0.207509744555759,0.441358749785557
0,7,Smid M,47,Czechia,1,mixed variant,B.1.1.529,infection,infection,,0.68,0.68,0.69,1,,2,24,infection,Ancestral,Omicron,Omicron,7&Ancestral&Omicron,13,13,0.644444444444444,0.00314940791131264,0.594707107746691,0.0137447220267416,1.78190908859011
0,7,Smid M,47,Czechia,1,mixed variant,B.1.1.529,infection,infection,,0.13,0.1,0.14,1,,25,52,infection,Ancestral,Omicron,Omicron,7&Ancestral&Omicron,38.5,38.5,0.0333333333333333,0.0125976316452507,-3.36729582998648,0.390960982093988,0.89095454429505
0,7,Smid M,47,Czechia,1,mixed variant,B.1.617.2,infection,infection,,0.95,0.94,0.96,1,,2,24,infection,Ancestral,Delta,Non_Omicron,7&Ancestral&Delta,13,13,0.944444444444444,0.00629881582262535,2.83321334405621,0.120048019207682,1.26
0,7,Smid M,47,Czechia,1,mixed variant,B.1.617.2,infection,infection,,0.83,0.82,0.84,1,,25,52,infection,Ancestral,Delta,Non_Omicron,7&Ancestral&Delta,38.5,38.5,0.811111111111111,0.00629881582262535,1.45724609709217,0.041112335345097,1.26
0,8,Abu-Raddad L,151,Qatar,1,Ancestral,Ancestral,infection,infection,,0.927,0.913,0.939,2,17,,,infection,Ancestral,Ancestral,Non_Omicron,8&Ancestral&Ancestral,,17,0.918888888888889,0.00818846056941292,2.4273452538753,0.109864886472387,1.10509310432686
0,9,Hall V,95,United Kingdom,1,Ancestral,B.1.1.7,infection,infection,,0.84,0.81,0.87,2,29,,,infection,Ancestral,Alpha,Non_Omicron,9&Ancestral&Alpha,,29,0.822222222222222,0.018896447467876,1.53147637096439,0.129274682846111,0.727461339178929
0,10,Hall V,102,United Kingdom,1,all variant,all variant,infection,infection,,0.86,0.81,0.89,1,,0,51,infection,Ancestral,Ancestral,Non_Omicron,10&Ancestral&Ancestral,25.5,25.5,0.844444444444444,0.0251952632905014,1.69167601067107,0.191806045726561,0.63
0,10,Hall V,102,United Kingdom,1,all variant,all variant,infection,infection,,0.69,0.38,0.84,1,,52,104,infection,Ancestral,Ancestral,Non_Omicron,10&Ancestral&Ancestral,78,78,0.655555555555556,0.144872763920383,0.643550239420575,0.641590698608585,0.262728161711914
0,11,Pilz S,75,Austria,1,Ancestral,Ancestral,infection,infection,,0.91,0.87,0.93,2,30,,,infection,Ancestral,Ancestral,Non_Omicron,11&Ancestral&Ancestral,,30,0.9,0.0188964474678761,2.19722457733622,0.209960527420845,0.727461339178928
0,12,Rennert L,102,United States,1,Ancestral,mixed variant,infection,infection,,0.84,0.78,0.88,2,18,,,infection,Ancestral,Ancestral,Non_Omicron,12&Ancestral&Ancestral,,18,0.822222222222222,0.0314940791131267,1.53147637096439,0.215457804743519,0.563489130329947
0,13,Sheehan M,102,United States,1,Ancestral,Ancestral,infection,infection,,0.818,0.766,0.858,2,20,,,infection,Ancestral,Ancestral,Non_Omicron,13&Ancestral&Ancestral,,20,0.797777777777778,0.0289745527840766,1.37246288197143,0.179599832831599,0.587478029191398
0,14,Vitale J,86,Italy,1,Ancestral,Ancestral,infection,infection,,0.94,0.92,0.95,2,34,,,infection,Ancestral,Ancestral,Non_Omicron,14&Ancestral&Ancestral,,34,0.933333333333333,0.00944822373393799,2.63905732961525,0.15184645286686,1.02878569196894
0,19,Breathnach A,95,United Kingdom,1,Ancestral,Ancestral,infection,infection,,0.94,0.88,0.97,2,32,,,infection,Ancestral,Ancestral,Non_Omicron,19&Ancestral&Ancestral,,32,0.933333333333333,0.028344671201814,2.63905732961525,0.455539358600581,0.5939696961967
0,23,Pritchard E,95,United Kingdom,1,"Ancestral, B.1.1.7","Ancestral, B.1.1.7",infection,infection,,0.28,0.1,0.43,1,,0,15,infection,Ancestral,Ancestral,Non_Omicron,23&Ancestral&Ancestral,7.5,7.5,0.2,0.103930461073318,-1.38629436111989,0.649565381708239,0.310190557267919
0,23,Pritchard E,95,United Kingdom,1,"Ancestral, B.1.1.7","Ancestral, B.1.1.7",infection,infection,,0.7,0.56,0.79,1,,16,32,infection,Ancestral,Ancestral,Non_Omicron,23&Ancestral&Ancestral,24,24,0.666666666666667,0.0724363819601915,0.693147180559947,0.325963718820862,0.371553729510341
0,23,Pritchard E,95,United Kingdom,1,"Ancestral, B.1.1.7",B.1.1.7,infection,infection,,0.42,0.19,0.58,1,,0,15,infection,Ancestral,Alpha,Non_Omicron,23&Ancestral&Alpha,7.5,7.5,0.355555555555556,0.122826908541194,-0.594707107746691,0.536044159042927,0.285333812604438
0,23,Pritchard E,95,United Kingdom,1,"Ancestral, B.1.1.7",B.1.1.7,infection,infection,,0.81,0.66,0.9,1,,16,32,infection,Ancestral,Alpha,Non_Omicron,23&Ancestral&Alpha,24,24,0.788888888888889,0.0755857898715042,1.31824089787488,0.453850925099469,0.363730669589464
0,29,Carazo S,101,Canada,1,mixed variant,B.1.1.529,infection,infection,,0.66,0.57,0.73,1,,12,23,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,17.5,17.5,0.622222222222222,0.0503905265810028,0.498991166118987,0.214371462870863,0.445477272147525
0,29,Carazo S,101,Canada,1,mixed variant,B.1.1.529,infection,infection,,0.49,0.32,0.61,1,,24,35,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,29.5,29.5,0.433333333333333,0.0913328294280675,-0.268263986594681,0.371943649254574,0.330892210806501
0,29,Carazo S,101,Canada,1,Ancestral,B.1.1.529,infection,infection,,0.35,0.21,0.47,1,,36,47,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,41.5,41.5,0.277777777777778,0.0818846056941295,-0.955511445027435,0.408163265306122,0.349461123621894
0,29,Carazo S,101,Canada,1,B.1.617.2,B.1.1.529,infection,infection,,0.29,0.17,0.38,1,,48,75,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,61.5,61.5,0.211111111111111,0.0661375661375661,-1.31824089787488,0.397119559462036,0.388844441904472
0,29,Carazo S,101,Canada,1,B.1.1.7,B.1.1.529,infection,infection,,0.27,0.08,0.42,1,,76,96,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,86,86,0.188888888888889,0.107079868984631,-1.45724609709217,0.698909700866648,0.30559488754578
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,infection,infection,,0.48,0.47,0.48,1,,2,12,infection,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,7,7,0.422222222222222,0.00314940791131268,-0.313657558855042,0.0129100223085186,1.7819090885901
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,infection,infection,,0.96,0.95,0.96,1,,13,24,infection,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,18.5,18.5,0.955555555555555,0.00314940791131268,3.06805293513361,0.0741575700047454,1.7819090885901
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,infection,infection,,0.92,0.91,0.93,1,,25,36,infection,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,30.5,30.5,0.911111111111111,0.00629881582262535,2.32727770558442,0.077775012444002,1.26
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,infection,infection,,0.93,0.92,0.98,1,,37,48,infection,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,42.5,42.5,0.922222222222222,0.018896447467876,2.47293045874128,0.263444448347324,0.727461339178929
0,41,Chin E,102,United States,1,mixed variant,B.1.1.529,infection,infection,,0.257,0.234,0.316,2,59,,,infection,Ancestral,Omicron,Omicron,41&Ancestral&Omicron,,59,0.174444444444444,0.0258251448727639,-1.55445023936945,0.179324372246606,0.622269645889242
0,41,Chin E,102,United States,1,B.1.617.2,B.1.1.529,infection,infection,,0.608,0.584,0.668,2,21,,,infection,Ancestral,Omicron,Omicron,41&Ancestral&Omicron,,21,0.564444444444444,0.0264550264550265,0.259219607788017,0.107607722504075,0.614817045957576
0,42,Braeye T,76,Belgium,1,mixed variant,B.1.617.2,infection,infection,,0.79,0.74,0.83,1,,0,7,infection,Ancestral,Delta,Non_Omicron,42&Ancestral&Delta,3.5,3.5,0.766666666666667,0.028344671201814,1.18958406687384,0.158448472556725,0.5939696961967
0,42,Braeye T,76,Belgium,1,mixed variant,B.1.617.2,infection,infection,,0.64,0.61,0.66,1,,21,28,infection,Ancestral,Delta,Non_Omicron,42&Ancestral&Delta,24.5,24.5,0.6,0.0157470395565634,0.405465108108164,0.0656126648190141,0.796893970362431
0,46,Carazo S,101,Canada,1,mixed variant,B.1.1.529.2,infection,infection,,0.42,-0.47,0.77,1,,12,23,infection,Ancestral,Omicron,Omicron,46&Ancestral&Omicron,17.5,17.5,0.355555555555556,0.390526581002772,-0.594707107746691,1.70434553131597,0.16002016002024
0,46,Carazo S,101,Canada,1,mixed variant,B.1.1.529.2,infection,infection,,0.39,0,0.63,1,,24,51,infection,Ancestral,Omicron,Omicron,46&Ancestral&Omicron,37.5,37.5,0.322222222222222,0.198412698412698,-0.743578034186838,0.908503593636437,0.224499443206437
0,46,Carazo S,101,Canada,1,mixed variant,B.1.1.529.2,infection,infection,,0.42,0.17,0.6,1,,52,64,infection,Ancestral,Omicron,Omicron,46&Ancestral&Omicron,58,58,0.355555555555556,0.135424540186445,-0.594707107746691,0.591023047149894,0.271738588472665
0,46,Carazo S,101,Canada,1,B.1.1.529.1,B.1.1.529.2,infection,infection,,0.82,0.49,0.94,1,,4,7,infection,Omicron,Omicron,Omicron,46&Omicron&Omicron,5.5,5.5,0.8,0.14172335600907,1.38629436111989,0.885770975056689,0.265631323454144
0,46,Carazo S,101,Canada,1,B.1.1.529.1,B.1.1.529.2,infection,infection,,0.76,0.63,0.85,1,,8,11,infection,Omicron,Omicron,Omicron,46&Omicron&Omicron,9.5,9.5,0.733333333333333,0.0692869740488788,1.01160091167848,0.354308390022675,0.379904294167982
0,46,Carazo S,101,Canada,1,B.1.1.529.1,B.1.1.529.2,infection,infection,,0.7,0.61,0.77,1,,12,23,infection,Omicron,Omicron,Omicron,46&Omicron&Omicron,17.5,17.5,0.666666666666667,0.0503905265810028,0.693147180559947,0.226757369614513,0.445477272147525
