file_source_id,file_source_name,file_source_type
62,maxdata_fl_ot_2000,max_outpatient
63,maxdata_fl_ot_2010,max_outpatient
64,maxdata_fl_ps_2000,max_summary
65,maxdata_fl_ps_2010,max_summary
66,maxdata_ga_ot_2000,max_outpatient
67,maxdata_ga_ot_2010,max_outpatient
68,maxdata_ga_ot_2014,max_outpatient
69,maxdata_ga_ps_2000,max_summary
70,maxdata_ga_ps_2010,max_summary
71,maxdata_ga_ps_2014,max_summary
72,maxdata_hi_ot_2000,max_outpatient
73,maxdata_hi_ot_2010,max_outpatient
74,maxdata_hi_ps_2000,max_summary
75,maxdata_hi_ps_2010,max_summary
76,maxdata_ia_ot_2000,max_outpatient
77,maxdata_ia_ot_2010,max_outpatient
78,maxdata_ia_ot_2014,max_outpatient
79,maxdata_ia_ps_2000,max_summary
80,maxdata_ia_ps_2010,max_summary
81,maxdata_ia_ps_2014,max_summary
82,maxdata_id_ot_2000,max_outpatient
83,maxdata_id_ot_2010,max_outpatient
84,maxdata_id_ot_2014,max_outpatient
85,maxdata_id_ps_2000,max_summary
86,maxdata_id_ps_2010,max_summary
87,maxdata_id_ps_2014,max_summary
88,maxdata_il_ot_2000,max_outpatient
89,maxdata_il_ot_2010,max_outpatient
90,maxdata_il_ps_2000,max_summary
91,maxdata_il_ps_2010,max_summary
92,maxdata_in_ot_2000,max_outpatient
93,maxdata_in_ot_2010,max_outpatient
94,maxdata_in_ps_2000,max_summary
95,maxdata_in_ps_2010,max_summary
96,maxdata_ks_ot_2000,max_outpatient
97,maxdata_ks_ps_2000,max_summary
98,maxdata_ks_ps_2010,max_summary
99,maxdata_ky_ot_2000,max_outpatient
100,maxdata_ky_ot_2010,max_outpatient
101,maxdata_ky_ps_2000,max_summary
102,maxdata_ky_ps_2010,max_summary
103,maxdata_la_ot_2000,max_outpatient
104,maxdata_la_ot_2010,max_outpatient
105,maxdata_la_ot_2014,max_outpatient
106,maxdata_la_ps_2000,max_summary
107,maxdata_la_ps_2010,max_summary
108,maxdata_la_ps_2014,max_summary
109,maxdata_ma_ot_2000,max_outpatient
110,maxdata_ma_ot_2010,max_outpatient
111,maxdata_ma_ps_2000,max_summary
112,maxdata_ma_ps_2010,max_summary
113,maxdata_md_ot_2000,max_outpatient
114,maxdata_md_ot_2010,max_outpatient
115,maxdata_md_ps_2000,max_summary
116,maxdata_md_ps_2010,max_summary
117,maxdata_me_ot_2000,max_outpatient
118,maxdata_me_ps_2000,max_summary
119,maxdata_me_ps_2010,max_summary
120,maxdata_mi_ot_2000,max_outpatient
121,maxdata_mi_ot_2010,max_outpatient
122,maxdata_mi_ot_2014,max_outpatient
123,maxdata_mi_ps_2000,max_summary
124,maxdata_mi_ps_2010,max_summary
125,maxdata_mi_ps_2014,max_summary
126,maxdata_mn_ot_2000,max_outpatient
127,maxdata_mn_ot_2010,max_outpatient
128,maxdata_mn_ot_2014,max_outpatient
129,maxdata_mn_ps_2000,max_summary
130,maxdata_mn_ps_2010,max_summary
131,maxdata_mn_ps_2014,max_summary
132,maxdata_mo_ot_2000,max_outpatient
133,maxdata_mo_ot_2010,max_outpatient
134,maxdata_mo_ot_2014,max_outpatient
135,maxdata_mo_ps_2000,max_summary
136,maxdata_mo_ps_2010,max_summary
137,maxdata_mo_ps_2014,max_summary
138,maxdata_ms_ot_2000,max_outpatient
139,maxdata_ms_ot_2010,max_outpatient
140,maxdata_ms_ot_2014,max_outpatient
141,maxdata_ms_ps_2000,max_summary
142,maxdata_ms_ps_2010,max_summary
143,maxdata_ms_ps_2014,max_summary
144,maxdata_mt_ot_2000,max_outpatient
145,maxdata_mt_ot_2010,max_outpatient
146,maxdata_mt_ps_2000,max_summary
147,maxdata_mt_ps_2010,max_summary
148,maxdata_nc_ot_2000,max_outpatient
149,maxdata_nc_ot_2010,max_outpatient
150,maxdata_nc_ps_2000,max_summary
151,maxdata_nc_ps_2010,max_summary
152,maxdata_nd_ot_2000,max_outpatient
153,maxdata_nd_ot_2010,max_outpatient
154,maxdata_nd_ps_2000,max_summary
155,maxdata_nd_ps_2010,max_summary
156,maxdata_ne_ot_2000,max_outpatient
157,maxdata_ne_ot_2010,max_outpatient
158,maxdata_ne_ps_2000,max_summary
159,maxdata_ne_ps_2010,max_summary
160,maxdata_nh_ot_2000,max_outpatient
161,maxdata_nh_ot_2010,max_outpatient
162,maxdata_nh_ps_2000,max_summary
163,maxdata_nh_ps_2010,max_summary
164,maxdata_nj_ot_2000,max_outpatient
165,maxdata_nj_ot_2010,max_outpatient
166,maxdata_nj_ot_2014,max_outpatient
167,maxdata_nj_ps_2000,max_summary
168,maxdata_nj_ps_2010,max_summary
169,maxdata_nj_ps_2014,max_summary
170,maxdata_nm_ot_2000,max_outpatient
171,maxdata_nm_ot_2010,max_outpatient
172,maxdata_nm_ps_2000,max_summary
173,maxdata_nm_ps_2010,max_summary
174,maxdata_nv_ot_2000,max_outpatient
175,maxdata_nv_ot_2010,max_outpatient
176,maxdata_nv_ps_2000,max_summary
177,maxdata_nv_ps_2010,max_summary
178,maxdata_ny_ot_2000,max_outpatient
179,maxdata_ny_ot_2010,max_outpatient
180,maxdata_ny_ps_2000,max_summary
181,maxdata_ny_ps_2010,max_summary
182,maxdata_oh_ot_2000,max_outpatient
183,maxdata_oh_ot_2010,max_outpatient
184,maxdata_oh_ps_2000,max_summary
185,maxdata_oh_ps_2010,max_summary
186,maxdata_ok_ot_2000,max_outpatient
187,maxdata_ok_ot_2010,max_outpatient
188,maxdata_ok_ps_2000,max_summary
189,maxdata_ok_ps_2010,max_summary
190,maxdata_or_ot_2000,max_outpatient
191,maxdata_or_ot_2010,max_outpatient
192,maxdata_or_ps_2000,max_summary
193,maxdata_or_ps_2010,max_summary
194,maxdata_pa_ot_2000,max_outpatient
195,maxdata_pa_ot_2010,max_outpatient
196,maxdata_pa_ot_2014,max_outpatient
197,maxdata_pa_ps_2000,max_summary
198,maxdata_pa_ps_2010,max_summary
199,maxdata_pa_ps_2014,max_summary
200,maxdata_ri_ot_2000,max_outpatient
201,maxdata_ri_ot_2010,max_outpatient
202,maxdata_ri_ps_2000,max_summary
203,maxdata_ri_ps_2010,max_summary
204,maxdata_sc_ot_2000,max_outpatient
205,maxdata_sc_ot_2010,max_outpatient
206,maxdata_sc_ps_2000,max_summary
207,maxdata_sc_ps_2010,max_summary
208,maxdata_sd_ot_2000,max_outpatient
209,maxdata_sd_ot_2010,max_outpatient
210,maxdata_sd_ot_2014,max_outpatient
211,maxdata_sd_ps_2000,max_summary
212,maxdata_sd_ps_2010,max_summary
213,maxdata_sd_ps_2014,max_summary
214,maxdata_tn_ot_2000,max_outpatient
215,maxdata_tn_ot_2010,max_outpatient
216,maxdata_tn_ot_2014,max_outpatient
217,maxdata_tn_ps_2000,max_summary
218,maxdata_tn_ps_2010,max_summary
219,maxdata_tn_ps_2014,max_summary
220,maxdata_tx_ot_2000,max_outpatient
221,maxdata_tx_ot_2010,max_outpatient
222,maxdata_tx_ps_2000,max_summary
223,maxdata_tx_ps_2010,max_summary
224,maxdata_ut_ot_2000,max_outpatient
225,maxdata_ut_ot_2010,max_outpatient
226,maxdata_ut_ot_2014,max_outpatient
227,maxdata_ut_ps_2000,max_summary
228,maxdata_ut_ps_2010,max_summary
229,maxdata_ut_ps_2014,max_summary
230,maxdata_va_ot_2000,max_outpatient
231,maxdata_va_ot_2010,max_outpatient
232,maxdata_va_ps_2000,max_summary
233,maxdata_va_ps_2010,max_summary
234,maxdata_vt_ot_2000,max_outpatient
235,maxdata_vt_ot_2010,max_outpatient
236,maxdata_vt_ot_2014,max_outpatient
237,maxdata_vt_ps_2000,max_summary
238,maxdata_vt_ps_2010,max_summary
239,maxdata_vt_ps_2014,max_summary
240,maxdata_wa_ot_2000,max_outpatient
241,maxdata_wa_ot_2010,max_outpatient
242,maxdata_wa_ps_2000,max_summary
243,maxdata_wa_ps_2010,max_summary
244,maxdata_wi_ot_2000,max_outpatient
245,maxdata_wi_ot_2010,max_outpatient
246,maxdata_wi_ps_2000,max_summary
247,maxdata_wi_ps_2010,max_summary
248,maxdata_wv_ot_2000,max_outpatient
249,maxdata_wv_ot_2010,max_outpatient
250,maxdata_wv_ot_2014,max_outpatient
251,maxdata_wv_ps_2000,max_summary
252,maxdata_wv_ps_2010,max_summary
253,maxdata_wv_ps_2014,max_summary
254,maxdata_wy_ot_2000,max_outpatient
255,maxdata_wy_ot_2010,max_outpatient
256,maxdata_wy_ot_2014,max_outpatient
257,maxdata_wy_ps_2000,max_summary
258,maxdata_wy_ps_2010,max_summary
259,maxdata_wy_ps_2014,max_summary
260,mbsf_ab_summary_res000052318_req008140_2000,mdcr_summary
261,mbsf_abcd_summary_res000052318_req008140_2010,mdcr_summary
262,mbsf_abcd_summary_res000052318_req008140_2014,mdcr_summary
263,mbsf_abcd_summary_res000052318_req008140_2015,mdcr_summary
264,mbsf_abcd_summary_res000052318_req008140_2016,mdcr_summary
265,outpatient_base_claims_k_res000052318_req008140_2000,mdcr_outpatient
266,outpatient_base_claims_k_res000052318_req008140_2010,mdcr_outpatient
267,outpatient_base_claims_k_res000052318_req008140_2014,mdcr_outpatient
268,outpatient_base_claims_k_res000052318_req008140_2015,mdcr_outpatient
269,outpatient_base_claims_k_res000052318_req008140_2016,mdcr_outpatient
