study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.53,0.52,0.54,0,0,,10,11,infection,10.5,10.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.43
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.5,0.48,0.51,0,0,,12,13,infection,12.5,12.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.4
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.5,0.48,0.52,0,0,,14,15,infection,14.5,14.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.4
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.51,0.48,0.54,0,0,,16,17,infection,16.5,16.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.41
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.1,-0.55,0.47,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.53,0.426,0.622,0,0,,2,4,infection,3,3,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.43
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.46,0.35,0.55,0,0,,5,8,infection,6.5,6.5,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.36
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.23,0.02,0.4,0,0,,9,14,infection,11.5,11.5,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.13
1007,Fowlkes A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,15,0.59,0.22,0.79,0,0,,2,21,infection,11.5,11.5,Omicron,mRNA,1007&US Omicron&Omicron&infection&12&15,0.49
1007,Fowlkes A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,15,0.62,-0.28,0.89,0,0,,22,32,infection,27,27,Omicron,mRNA,1007&US Omicron&Omicron&infection&12&15,0.52
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.584,0.059,0.816,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.484
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.634,0.214,0.83,0,0,,2,3,infection,2.5,2.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.534
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.577,0.372,0.716,0,0,,4,7,infection,5.5,5.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.477
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.408,0.232,0.544,0,0,,8,11,infection,9.5,9.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.308
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.377,0.227,0.497,0,0,,12,15,infection,13.5,13.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.277
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.475,0.376,0.558,0,0,,16,19,infection,17.5,17.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.375
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.339,0.241,0.424,0,0,,20,23,infection,21.5,21.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.239
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.222,0.084,0.339,0,0,,24,27,infection,25.5,25.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.122
