study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,study_id2,e_mean
500,MoH Israel,0,85,85,Israel,Israel Delta Death,"",Pfizer & BioNTech,B.1.617.2,Severe,death,,16,60,0.84,0.24,0.96,0,0,,2,9,severe,5.5,5.5,500&Israel Delta Death&B.1.617.2&death&16&60,0.74
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Moderna,B.1.617.2,Infection,infection,,18,85,0.76,0.68,0.87,0,0,,25,28,infection,26.5,26.5,505&USA Mayo Clinic mixed&B.1.617.2&infection&18&85,0.66
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Pfizer & BioNTech,B.1.617.2,Infection,infection,,18,85,0.42,0.13,0.62,0,0,,25,28,infection,26.5,26.5,505&USA Mayo Clinic mixed&B.1.617.2&infection&18&85,0.32
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed hosp,"",Moderna,B.1.617.2,Severe,hosp,,18,85,0.81,0.33,0.963,0,0,,25,28,severe,26.5,26.5,505&USA Mayo Clinic mixed hosp&B.1.617.2&hosp&18&85,0.71
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,85,0.75,0.24,0.939,0,0,,25,28,severe,26.5,26.5,505&USA Mayo Clinic mixed hosp&B.1.617.2&hosp&18&85,0.65
509,Tartof S,0,102,102,United States,US  Kaiser study Delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,75,0.85,0.83,0.86,0,0,,0,4,infection,2,2,509&US  Kaiser study Delta&B.1.617.2&infection&18&75,0.75
509,Tartof S,0,102,102,United States,US  Kaiser study Delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,75,0.8,0.79,0.82,0,0,,5,8,infection,6.5,6.5,509&US  Kaiser study Delta&B.1.617.2&infection&18&75,0.7
509,Tartof S,0,102,102,United States,US  Kaiser study Delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,75,0.75,0.73,0.755,0,0,,9,12,infection,10.5,10.5,509&US  Kaiser study Delta&B.1.617.2&infection&18&75,0.65
509,Tartof S,0,102,102,United States,US  Kaiser study Delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,75,0.69,0.685,0.695,0,0,,13,17,infection,15,15,509&US  Kaiser study Delta&B.1.617.2&infection&18&75,0.59
509,Tartof S,0,102,102,United States,US  Kaiser study Delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,75,0.65,0.64,0.655,0,0,,18,21,infection,19.5,19.5,509&US  Kaiser study Delta&B.1.617.2&infection&18&75,0.55
509,Tartof S,0,102,102,United States,US  Kaiser study Delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,75,0.59,0.585,0.61,0,0,,22,25,infection,23.5,23.5,509&US  Kaiser study Delta&B.1.617.2&infection&18&75,0.49
509,Tartof S,0,102,102,United States,US  Kaiser study Delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,75,0.52,0.51,0.53,0,0,,26,29,infection,27.5,27.5,509&US  Kaiser study Delta&B.1.617.2&infection&18&75,0.42
509,Tartof S,0,102,102,United States,US  Kaiser study Delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,75,0.49,0.51,0.765,0,0,,30,34,infection,32,32,509&US  Kaiser study Delta&B.1.617.2&infection&18&75,0.39
509,Tartof S,0,102,102,United States,US  Kaiser study Delta hosp,"",Pfizer & BioNTech,B.1.617.2,severe,hosp,,18,75,0.9,0.86,0.915,0,0,,0,4,severe,2,2,509&US  Kaiser study Delta hosp&B.1.617.2&hosp&18&75,0.8
509,Tartof S,0,102,102,United States,US  Kaiser study Delta hosp,"",Pfizer & BioNTech,B.1.617.2,severe,hosp,,18,75,0.91,0.89,0.93,0,0,,5,8,severe,6.5,6.5,509&US  Kaiser study Delta hosp&B.1.617.2&hosp&18&75,0.81
509,Tartof S,0,102,102,United States,US  Kaiser study Delta hosp,"",Pfizer & BioNTech,B.1.617.2,severe,hosp,,18,75,0.93,0.92,0.94,0,0,,9,12,severe,10.5,10.5,509&US  Kaiser study Delta hosp&B.1.617.2&hosp&18&75,0.83
509,Tartof S,0,102,102,United States,US  Kaiser study Delta hosp,"",Pfizer & BioNTech,B.1.617.2,severe,hosp,,18,75,0.93,0.92,0.94,0,0,,13,17,severe,15,15,509&US  Kaiser study Delta hosp&B.1.617.2&hosp&18&75,0.83
509,Tartof S,0,102,102,United States,US  Kaiser study Delta hosp,"",Pfizer & BioNTech,B.1.617.2,severe,hosp,,18,75,0.93,0.92,0.935,0,0,,18,21,severe,19.5,19.5,509&US  Kaiser study Delta hosp&B.1.617.2&hosp&18&75,0.83
509,Tartof S,0,102,102,United States,US  Kaiser study Delta hosp,"",Pfizer & BioNTech,B.1.617.2,severe,hosp,,18,75,0.91,0.895,0.92,0,0,,22,25,severe,23.5,23.5,509&US  Kaiser study Delta hosp&B.1.617.2&hosp&18&75,0.81
509,Tartof S,0,102,102,United States,US  Kaiser study Delta hosp,"",Pfizer & BioNTech,B.1.617.2,severe,hosp,,18,75,0.9,0.89,0.91,0,0,,26,29,severe,27.5,27.5,509&US  Kaiser study Delta hosp&B.1.617.2&hosp&18&75,0.8
509,Tartof S,0,102,102,United States,US  Kaiser study Delta hosp,"",Pfizer & BioNTech,B.1.617.2,severe,hosp,,18,75,0.88,0.86,0.9,0,0,,30,34,severe,32,32,509&US  Kaiser study Delta hosp&B.1.617.2&hosp&18&75,0.78
510,Chemaitelly H,0,151,151,Qatar,Qatar (delta),"",Pfizer & BioNTech,B.1.617.2,infection,infection,,20,70,0.876,0.797,0.923,0,0,,0,4,infection,2,2,510&Qatar (delta)&B.1.617.2&infection&20&70,0.776
510,Chemaitelly H,0,151,151,Qatar,Qatar (delta),"",Pfizer & BioNTech,B.1.617.2,infection,infection,,20,70,0.73,0.636,0.804,0,0,,5,8,infection,6.5,6.5,510&Qatar (delta)&B.1.617.2&infection&20&70,0.63
510,Chemaitelly H,0,151,151,Qatar,Qatar (delta),"",Pfizer & BioNTech,B.1.617.2,infection,infection,,20,70,0.624,0.502,0.716,0,0,,9,12,infection,10.5,10.5,510&Qatar (delta)&B.1.617.2&infection&20&70,0.524
510,Chemaitelly H,0,151,151,Qatar,Qatar (delta),"",Pfizer & BioNTech,B.1.617.2,infection,infection,,20,70,0.351,0.147,0.506,0,0,,13,16,infection,14.5,14.5,510&Qatar (delta)&B.1.617.2&infection&20&70,0.251
510,Chemaitelly H,0,151,151,Qatar,Qatar (delta),"",Pfizer & BioNTech,B.1.617.2,infection,infection,,20,70,0.204,-0.19,0.378,0,0,,17,20,infection,18.5,18.5,510&Qatar (delta)&B.1.617.2&infection&20&70,0.104
510,Chemaitelly H,0,151,151,Qatar,Qatar (delta),"",Pfizer & BioNTech,B.1.617.2,infection,infection,,20,70,0.179,-0.129,0.403,0,0,,21,24,infection,22.5,22.5,510&Qatar (delta)&B.1.617.2&infection&20&70,0.079
510,Chemaitelly H,0,151,151,Qatar,Qatar mixed hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,20,70,0.889,0.521,0.974,0,0,,21,24,severe,22.5,22.5,510&Qatar mixed hosp&B.1.617.2&hosp&20&70,0.789
510,Chemaitelly H,0,151,151,Qatar,Qatar mixed hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,20,70,0.556,-0.443,0.863,0,0,,25,28,severe,26.5,26.5,510&Qatar mixed hosp&B.1.617.2&hosp&20&70,0.456
510,Chemaitelly H,0,151,151,Qatar,Qatar mixed,"",Pfizer & BioNTech,B.1.617.2,"Mild, Moderate + Severe",symptomatic,,20,70,0.128,-0.091,0.303,0,0,,21,24,symptomatic,22.5,22.5,510&Qatar mixed&B.1.617.2&symptomatic&20&70,0.028
510,Chemaitelly H,0,151,151,Qatar,Qatar mixed,"",Pfizer & BioNTech,B.1.617.2,"Mild, Moderate + Severe",symptomatic,,20,70,0.278,-0.014,0.487,0,0,,25,28,symptomatic,26.5,26.5,510&Qatar mixed&B.1.617.2&symptomatic&20&70,0.178
511,Cohn B,0,102,102,United States,US  veterans delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,619755,18,65,0.914,0.91,0.918,0,0,,0,4,infection,2,2,511&US  veterans delta&B.1.617.2&infection&18&65,0.814
511,Cohn B,0,102,102,United States,US  veterans delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,619755,18,65,0.878,0.873,0.988,0,0,,5,8,infection,6.5,6.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.778
511,Cohn B,0,102,102,United States,US  veterans delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,619755,18,65,0.826,0.821,0.831,0,0,,9,12,infection,10.5,10.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.726
511,Cohn B,0,102,102,United States,US  veterans delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,619755,18,65,0.752,0.744,0.76,0,0,,13,16,infection,14.5,14.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.652
511,Cohn B,0,102,102,United States,US  veterans delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,619755,18,65,0.646,0.633,0.659,0,0,,17,20,infection,18.5,18.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.546
511,Cohn B,0,102,102,United States,US  veterans delta,"",Pfizer & BioNTech,B.1.617.2,infection,infection,619755,18,65,0.496,0.471,0.519,0,0,,21,24,infection,22.5,22.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.396
511,Cohn B,0,102,102,United States,US  veterans delta,"",Moderna,B.1.617.2,infection,infection,619755,18,65,0.927,0.923,0.931,0,0,,0,4,infection,2,2,511&US  veterans delta&B.1.617.2&infection&18&65,0.827
511,Cohn B,0,102,102,United States,US  veterans delta,"",Moderna,B.1.617.2,infection,infection,619755,18,65,0.9,0.896,0.904,0,0,,5,8,infection,6.5,6.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.8
511,Cohn B,0,102,102,United States,US  veterans delta,"",Moderna,B.1.617.2,infection,infection,619755,18,65,0.862,0.857,0.867,0,0,,9,12,infection,10.5,10.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.762
511,Cohn B,0,102,102,United States,US  veterans delta,"",Moderna,B.1.617.2,infection,infection,619755,18,65,0.811,0.804,0.817,0,0,,13,16,infection,14.5,14.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.711
511,Cohn B,0,102,102,United States,US  veterans delta,"",Moderna,B.1.617.2,infection,infection,619755,18,65,0.74,0.729,0.75,0,0,,17,20,infection,18.5,18.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.64
511,Cohn B,0,102,102,United States,US  veterans delta,"",Moderna,B.1.617.2,infection,infection,619755,18,65,0.642,0.623,0.661,0,0,,21,24,infection,22.5,22.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.542
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,B.1.617.2,infection,infection,619755,18,65,0.883,0.867,0.897,0,0,,0,4,infection,2,2,511&US  veterans delta&B.1.617.2&infection&18&65,0.783
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,B.1.617.2,infection,infection,619755,18,65,0.822,0.803,0.839,0,0,,5,8,infection,6.5,6.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.722
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,B.1.617.2,infection,infection,619755,18,65,0.728,0.707,0.748,0,0,,9,12,infection,10.5,10.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.628
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,B.1.617.2,infection,infection,619755,18,65,0.585,0.557,0.61,0,0,,13,16,infection,14.5,14.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.485
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,B.1.617.2,infection,infection,619755,18,65,0.366,0.318,0.41,0,0,,17,20,infection,18.5,18.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.266
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,B.1.617.2,infection,infection,619755,18,65,0.11,-0.0662,0.12,0,0,,21,24,infection,22.5,22.5,511&US  veterans delta&B.1.617.2&infection&18&65,0.01
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,85,0.813,0.795,0.83,0,0,,0,7,infection,3.5,3.5,512&Puerto Rico(delta)&B.1.617.2&infection&18&85,0.713
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,85,0.63,0.61,0.65,0,0,,8,14,infection,11,11,512&Puerto Rico(delta)&B.1.617.2&infection&18&85,0.53
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,85,0.56,0.53,0.59,0,0,,15,19,infection,17,17,512&Puerto Rico(delta)&B.1.617.2&infection&18&85,0.46
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Moderna,B.1.617.2,infection,infection,,18,85,0.847,0.83,0.86,0,0,,0,7,infection,3.5,3.5,512&Puerto Rico(delta)&B.1.617.2&infection&18&85,0.747
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Moderna,B.1.617.2,infection,infection,,18,85,0.75,0.735,0.765,0,0,,8,14,infection,11,11,512&Puerto Rico(delta)&B.1.617.2&infection&18&85,0.65
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Moderna,B.1.617.2,infection,infection,,18,85,0.71,0.68,0.74,0,0,,15,20,infection,17.5,17.5,512&Puerto Rico(delta)&B.1.617.2&infection&18&85,0.61
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Johnson & Johnson,B.1.617.2,infection,infection,,18,85,0.522,0.48,0.563,0,0,,0,7,infection,3.5,3.5,512&Puerto Rico(delta)&B.1.617.2&infection&18&85,0.422
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Johnson & Johnson,B.1.617.2,infection,infection,,18,85,0.38,0.33,0.45,0,0,,8,14,infection,11,11,512&Puerto Rico(delta)&B.1.617.2&infection&18&85,0.28
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Johnson & Johnson,B.1.617.2,infection,infection,,18,85,0.27,0.17,0.37,0,0,,15,22,infection,18.5,18.5,512&Puerto Rico(delta)&B.1.617.2&infection&18&85,0.17
513,Dan-Yu L,0,102,102,United States,US NC mixed,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,65,0.78,0.77,0.79,0,0,,21,24,infection,22.5,22.5,513&US NC mixed&B.1.617.2&infection&18&65,0.68
513,Dan-Yu L,0,102,102,United States,US NC mixed,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,65,0.7,0.72,0.785,0,0,,25,28,infection,26.5,26.5,513&US NC mixed&B.1.617.2&infection&18&65,0.6
513,Dan-Yu L,0,102,102,United States,US NC mixed,"",Pfizer & BioNTech,B.1.617.2,infection,infection,,18,65,0.72,0.7,0.735,0,0,,29,32,infection,30.5,30.5,513&US NC mixed&B.1.617.2&infection&18&65,0.62
513,Dan-Yu L,0,102,102,United States,US NC mixed,"",Moderna,B.1.617.2,infection,infection,,18,65,0.85,0.845,0.855,0,0,,21,24,infection,22.5,22.5,513&US NC mixed&B.1.617.2&infection&18&65,0.75
513,Dan-Yu L,0,102,102,United States,US NC mixed,"",Moderna,B.1.617.2,infection,infection,,18,65,0.817,0.81,0.825,0,0,,25,28,infection,26.5,26.5,513&US NC mixed&B.1.617.2&infection&18&65,0.717
513,Dan-Yu L,0,102,102,United States,US NC mixed,"",Moderna,B.1.617.2,infection,infection,,18,65,0.83,0.82,0.84,0,0,,29,32,infection,30.5,30.5,513&US NC mixed&B.1.617.2&infection&18&65,0.73
513,Dan-Yu L,0,102,102,United States,US NC mixed,"",Johnson & Johnson,B.1.617.2,infection,infection,,18,65,0.69,0.66,0.715,0,0,,21,24,infection,22.5,22.5,513&US NC mixed&B.1.617.2&infection&18&65,0.59
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,65,0.91,0.88,0.925,0,0,,21,24,severe,22.5,22.5,513&US NC mixed hosp&B.1.617.2&hosp&18&65,0.81
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,65,0.87,0.848,0.9,0,0,,25,28,severe,26.5,26.5,513&US NC mixed hosp&B.1.617.2&hosp&18&65,0.77
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,65,0.9,0.83,0.94,0,0,,29,32,severe,30.5,30.5,513&US NC mixed hosp&B.1.617.2&hosp&18&65,0.8
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Moderna,B.1.617.2,Severe,hosp,,18,65,0.94,0.27,0.95,0,0,,21,24,severe,22.5,22.5,513&US NC mixed hosp&B.1.617.2&hosp&18&65,0.84
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Moderna,B.1.617.2,Severe,hosp,,18,65,0.925,0.9,0.945,0,0,,25,28,severe,26.5,26.5,513&US NC mixed hosp&B.1.617.2&hosp&18&65,0.825
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Moderna,B.1.617.2,Severe,hosp,,18,65,0.945,0.88,0.97,0,0,,29,32,severe,30.5,30.5,513&US NC mixed hosp&B.1.617.2&hosp&18&65,0.845
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Johnson & Johnson,B.1.617.2,Severe,hosp,,18,65,0.61,0.09,0.844,0,0,,21,24,severe,22.5,22.5,513&US NC mixed hosp&B.1.617.2&hosp&18&65,0.51
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Pfizer & BioNTech,B.1.617.2,Severe,death,,18,65,0.935,0.897,0.957,0,0,,21,24,severe,22.5,22.5,513&US NC mixed deaths&B.1.617.2&death&18&65,0.835
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Pfizer & BioNTech,B.1.617.2,Severe,death,,18,65,0.88,0.84,0.87,0,0,,25,28,severe,26.5,26.5,513&US NC mixed deaths&B.1.617.2&death&18&65,0.78
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Pfizer & BioNTech,B.1.617.2,Severe,death,,18,65,0.85,0.7,0.92,0,0,,29,32,severe,30.5,30.5,513&US NC mixed deaths&B.1.617.2&death&18&65,0.75
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Moderna,B.1.617.2,Severe,death,,18,65,0.91,0.86,0.94,0,0,,21,24,severe,22.5,22.5,513&US NC mixed deaths&B.1.617.2&death&18&65,0.81
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Moderna,B.1.617.2,Severe,death,,18,65,0.94,0.9,0.954,0,0,,25,28,severe,26.5,26.5,513&US NC mixed deaths&B.1.617.2&death&18&65,0.84
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Moderna,B.1.617.2,Severe,death,,18,65,0.9,0.79,0.95,0,0,,29,32,severe,30.5,30.5,513&US NC mixed deaths&B.1.617.2&death&18&65,0.8
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Johnson & Johnson,B.1.617.2,Severe,death,,18,65,0.62,0.03,0.85,0,0,,21,24,severe,22.5,22.5,513&US NC mixed deaths&B.1.617.2&death&18&65,0.52
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,80,0.91,0.82,0.95,0,0,,0,1,severe,0.5,0.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.81
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,80,0.98,0.94,0.99,0,0,,2,3,severe,2.5,2.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.88
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,80,0.99,0.98,0.99,0,0,,4,7,severe,5.5,5.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.89
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,80,0.98,0.97,0.98,0,0,,8,11,severe,9.5,9.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.88
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,80,0.97,0.96,0.98,0,0,,12,15,severe,13.5,13.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.87
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,80,0.98,0.88,0.99,0,0,,16,19,severe,17.5,17.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.88
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,80,0.92,0.41,0.99,0,0,,20,23,severe,21.5,21.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.82
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,18,80,0.98,0.91,0.99,0,0,,24,27,severe,25.5,25.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.88
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,B.1.617.2,Severe,hosp,,18,80,0.95,0.8,0.99,0,0,,0,1,severe,0.5,0.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.85
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,B.1.617.2,Severe,hosp,,18,80,0.98,0.89,0.99,0,0,,2,3,severe,2.5,2.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.88
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,B.1.617.2,Severe,hosp,,18,80,0.99,0.96,0.99,0,0,,4,7,severe,5.5,5.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.89
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,B.1.617.2,Severe,hosp,,18,80,0.98,0.95,0.99,0,0,,8,11,severe,9.5,9.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.88
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,B.1.617.2,Severe,hosp,,18,80,0.96,0.92,0.98,0,0,,12,15,severe,13.5,13.5,1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80,0.86
