"exclude","study_id","author","location_id","location_name","piv","prim_inf_var","variant","symptom_severity","severity","sample_size","efficacy_mean","efficacy_lower","efficacy_upper","pinf","average_time_since_infection","start_interval","end_interval","sev_severity","prim_variant_name","variant_name","study_id2","mid_point1","mid_point","se","mean_logit","sd_logit","insesqua"
0,23,"Pritchard E",95,"United Kingdom",1,"Ancestral, B.1.1.7","Ancestral, B.1.1.7","infection","infection",NA,0.28,0.1,0.43,1,NA,0,15,"infection","Ancestral","Ancestral","23&Ancestral&Ancestral",7.5,7.5,0.0841836734693878,-0.944461608840851,0.417577745383868,0.344656174742132
0,23,"Pritchard E",95,"United Kingdom",1,"Ancestral, B.1.1.7","Ancestral, B.1.1.7","infection","infection",NA,0.7,0.56,0.79,1,NA,16,32,"infection","Ancestral","Ancestral","23&Ancestral&Ancestral",24,24,0.0586734693877551,0.847297860387203,0.279397473275024,0.412837477233712
0,23,"Pritchard E",95,"United Kingdom",1,"Ancestral, B.1.1.7","B.1.1.7","infection","infection",NA,0.42,0.19,0.58,1,NA,0,15,"infection","Ancestral","Alpha","23&Ancestral&Alpha",7.5,7.5,0.0994897959183673,-0.322773392263051,0.40841459736604,0.317037569560487
0,23,"Pritchard E",95,"United Kingdom",1,"Ancestral, B.1.1.7","B.1.1.7","infection","infection",NA,0.81,0.66,0.9,1,NA,16,32,"infection","Ancestral","Alpha","23&Ancestral&Alpha",24,24,0.0612244897959184,1.450010175506,0.397819946692127,0.404145188432738
0,31,"Nordstrom P",93,"Sweden",1,"mixed variant","mixed variant","infection","infection",NA,0.48,0.47,0.48,1,NA,2,12,"infection","Ancestral","Ancestral","31&Ancestral&Ancestral",7,7,0.00255102040816327,-0.0800427076735365,0.0102204343275772,1.97989898732233
0,31,"Nordstrom P",93,"Sweden",1,"mixed variant","mixed variant","infection","infection",NA,0.96,0.95,0.96,1,NA,13,24,"infection","Ancestral","Ancestral","31&Ancestral&Ancestral",18.5,18.5,0.00255102040816327,3.17805383034794,0.0664328231292517,1.97989898732233
0,31,"Nordstrom P",93,"Sweden",1,"mixed variant","mixed variant","infection","infection",NA,0.92,0.91,0.93,1,NA,25,36,"infection","Ancestral","Ancestral","31&Ancestral&Ancestral",30.5,30.5,0.00510204081632654,2.44234703536921,0.0693212067435671,1.4
0,31,"Nordstrom P",93,"Sweden",1,"mixed variant","mixed variant","infection","infection",NA,0.93,0.92,0.98,1,NA,37,48,"infection","Ancestral","Ancestral","31&Ancestral&Ancestral",42.5,42.5,0.0153061224489796,2.58668934409794,0.235117088309978,0.808290376865476
0,42,"Braeye T",76,"Belgium",1,"mixed variant","B.1.617.2","infection","infection",NA,0.79,0.74,0.83,1,NA,0,7,"infection","Ancestral","Delta","42&Ancestral&Delta",3.5,3.5,0.0229591836734694,1.3249254147436,0.138391703878658,0.659966329107444
0,42,"Braeye T",76,"Belgium",1,"mixed variant","B.1.617.2","infection","infection",NA,0.64,0.61,0.66,1,NA,21,28,"infection","Ancestral","Delta","42&Ancestral&Delta",24.5,24.5,0.0127551020408163,0.575364144903562,0.0553606859410431,0.885437744847146
